Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 01:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 02:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 03:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 04:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 05:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 06:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 07:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 08:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 09:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 10:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 11:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 12:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 13:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 14:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 15:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 16:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 17:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 18:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 19:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 20:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 21:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 22:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
01.01.2020 23:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
02.01.2020 00:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
02.01.2020 01:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
02.01.2020 02:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
02.01.2020 03:00:00.000 GMT-0500,2536.720,2536.720,2536.720,2536.720,0
02.01.2020 04:00:00.000 GMT-0500,2526.570,2528.690,2521.040,2528.660,0.0076
02.01.2020 05:00:00.000 GMT-0500,2528.540,2538.130,2526.070,2529.220,0.0196
02.01.2020 06:00:00.000 GMT-0500,2529.660,2535.690,2528.070,2530.600,0.0133
02.01.2020 07:00:00.000 GMT-0500,2530.570,2535.100,2527.570,2529.660,0.0112
02.01.2020 08:00:00.000 GMT-0500,2530.190,2549.660,2515.630,2520.570,0.0431
02.01.2020 09:00:00.000 GMT-0500,2520.100,2530.160,2504.040,2522.100,0.0356
02.01.2020 10:00:00.000 GMT-0500,2521.570,2529.600,2512.540,2526.720,0.0562
02.01.2020 11:00:00.000 GMT-0500,2527.570,2562.100,2522.600,2525.540,0.0905
02.01.2020 12:00:00.000 GMT-0500,2525.720,2526.600,2518.570,2521.690,0.0331
02.01.2020 13:00:00.000 GMT-0500,2521.570,2528.130,2520.540,2525.660,0.0087
02.01.2020 14:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 15:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 16:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 17:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 18:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 19:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 20:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 21:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 22:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
02.01.2020 23:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
03.01.2020 00:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
03.01.2020 01:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
03.01.2020 02:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
03.01.2020 03:00:00.000 GMT-0500,2525.660,2525.660,2525.660,2525.660,0
03.01.2020 04:00:00.000 GMT-0500,2527.220,2538.160,2525.100,2538.160,0.0049
03.01.2020 05:00:00.000 GMT-0500,2538.100,2542.220,2531.160,2538.540,0.024
03.01.2020 06:00:00.000 GMT-0500,2539.160,2567.720,2535.570,2566.630,0.0225
03.01.2020 07:00:00.000 GMT-0500,2566.220,2572.160,2550.600,2554.040,0.0305
03.01.2020 08:00:00.000 GMT-0500,2553.220,2559.190,2520.570,2521.130,0.0622
03.01.2020 09:00:00.000 GMT-0500,2521.720,2536.070,2518.660,2527.100,0.0387
03.01.2020 10:00:00.000 GMT-0500,2526.630,2536.100,2513.540,2521.600,0.0583
03.01.2020 11:00:00.000 GMT-0500,2521.570,2528.720,2514.540,2516.630,0.0808
03.01.2020 12:00:00.000 GMT-0500,2516.570,2521.100,2516.540,2519.630,0.0298
03.01.2020 13:00:00.000 GMT-0500,2519.540,2524.100,2516.540,2517.570,0.0092
03.01.2020 14:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 15:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 16:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 17:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 18:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 19:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 20:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 21:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 22:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
03.01.2020 23:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 00:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 01:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 02:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 03:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 04:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 05:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 06:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 07:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 08:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 09:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 10:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 11:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 12:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 13:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 14:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 15:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 16:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 17:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 18:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 19:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 20:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 21:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 22:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
04.01.2020 23:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 00:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 01:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 02:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 03:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 04:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 05:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 06:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 07:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 08:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 09:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 10:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 11:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 12:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 13:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
05.01.2020 14:00:00.000 GMT-0500,2517.570,2517.570,2517.570,2517.570,0
