Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 01:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 02:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 03:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 04:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 05:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 06:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 07:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 08:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 09:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 10:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 11:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 12:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 13:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 14:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 15:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 16:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 17:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 18:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 19:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 20:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 21:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 22:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
01.01.2020 23:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
02.01.2020 00:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
02.01.2020 01:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
02.01.2020 02:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
02.01.2020 03:00:00.000 GMT-0500,129.014,129.014,129.014,129.014,0
02.01.2020 04:00:00.000 GMT-0500,129.180,129.770,128.580,129.589,32.185
02.01.2020 05:00:00.000 GMT-0500,129.660,129.800,128.654,129.000,29.3
02.01.2020 06:00:00.000 GMT-0500,129.032,129.793,128.231,128.704,27.46
02.01.2020 07:00:00.000 GMT-0500,128.764,129.220,127.763,128.302,43.9526
02.01.2020 08:00:00.000 GMT-0500,128.382,129.685,127.583,129.458,61.02
02.01.2020 09:00:00.000 GMT-0500,129.407,130.741,128.152,128.911,60.1544
02.01.2020 10:00:00.000 GMT-0500,128.962,129.893,128.611,128.658,48.465
02.01.2020 11:00:00.000 GMT-0500,128.632,128.931,126.802,127.054,48.013
02.01.2020 12:00:00.000 GMT-0500,127.025,127.470,126.331,127.214,48.8442
02.01.2020 13:00:00.000 GMT-0500,127.180,127.439,126.880,126.982,15.8452
02.01.2020 14:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 15:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 16:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 17:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 18:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 19:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 20:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 21:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 22:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
02.01.2020 23:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
03.01.2020 00:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
03.01.2020 01:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
03.01.2020 02:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
03.01.2020 03:00:00.000 GMT-0500,126.982,126.982,126.982,126.982,0
03.01.2020 04:00:00.000 GMT-0500,127.114,127.611,126.907,127.190,22.365
03.01.2020 05:00:00.000 GMT-0500,127.135,127.533,126.863,127.022,20.195
03.01.2020 06:00:00.000 GMT-0500,127.083,127.131,125.272,125.779,41.1336
03.01.2020 07:00:00.000 GMT-0500,125.714,126.694,125.592,125.808,32.4862
03.01.2020 08:00:00.000 GMT-0500,125.833,127.339,125.833,126.889,47.665
03.01.2020 09:00:00.000 GMT-0500,126.910,127.310,126.206,126.504,28.63
03.01.2020 10:00:00.000 GMT-0500,126.523,128.270,126.491,127.763,42.0748
03.01.2020 11:00:00.000 GMT-0500,127.653,128.140,126.983,127.034,29.1778
03.01.2020 12:00:00.000 GMT-0500,127.102,127.164,125.880,126.138,40.1574
03.01.2020 13:00:00.000 GMT-0500,126.104,126.687,126.082,126.640,18.7098
03.01.2020 14:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 15:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 16:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 17:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 18:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 19:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 20:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 21:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 22:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
03.01.2020 23:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 00:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 01:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 02:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 03:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 04:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
04.01.2020 05:00:00.000 GMT-0500,126.640,126.640,126.640,126.640,0
