Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 01:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 02:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 03:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 04:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 05:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 06:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 07:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 08:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 09:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 10:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 11:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 12:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 13:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 14:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 15:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 16:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 17:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 18:00:00.000 GMT-0500,2.8022,2.8053,2.7987,2.8035,0.1038
01.01.2020 19:00:00.000 GMT-0500,2.8046,2.8072,2.8019,2.8071,0.0147
01.01.2020 20:00:00.000 GMT-0500,2.8066,2.8200,2.8066,2.8147,0.16
01.01.2020 21:00:00.000 GMT-0500,2.8148,2.8186,2.8140,2.8175,0.0598
01.01.2020 22:00:00.000 GMT-0500,2.8182,2.8266,2.8177,2.8202,0.0508
01.01.2020 23:00:00.000 GMT-0500,2.8201,2.8206,2.8175,2.8176,0.0398
02.01.2020 00:00:00.000 GMT-0500,2.8183,2.8221,2.8175,2.8219,0.0824
02.01.2020 01:00:00.000 GMT-0500,2.8222,2.8236,2.8188,2.8200,0.1023
02.01.2020 02:00:00.000 GMT-0500,2.8203,2.8208,2.8172,2.8179,0.0406
02.01.2020 03:00:00.000 GMT-0500,2.8188,2.8275,2.8119,2.8196,0.048
02.01.2020 04:00:00.000 GMT-0500,2.8202,2.8226,2.8147,2.8160,0.0443
02.01.2020 05:00:00.000 GMT-0500,2.8163,2.8178,2.8137,2.8161,0.0156
02.01.2020 06:00:00.000 GMT-0500,2.8153,2.8153,2.8058,2.8072,0.0356
02.01.2020 07:00:00.000 GMT-0500,2.8073,2.8091,2.8052,2.8075,0.0411
02.01.2020 08:00:00.000 GMT-0500,2.8075,2.8116,2.7961,2.7988,0.4499
02.01.2020 09:00:00.000 GMT-0500,2.7987,2.8013,2.7926,2.7975,0.2571
02.01.2020 10:00:00.000 GMT-0500,2.7980,2.8076,2.7951,2.8072,0.3407
02.01.2020 11:00:00.000 GMT-0500,2.8071,2.8081,2.7985,2.8030,0.3806
02.01.2020 12:00:00.000 GMT-0500,2.8027,2.8251,2.8005,2.8246,0.4526
02.01.2020 13:00:00.000 GMT-0500,2.8237,2.8246,2.8165,2.8170,0.0934
02.01.2020 14:00:00.000 GMT-0500,2.8175,2.8196,2.8172,2.8175,0.011
02.01.2020 15:00:00.000 GMT-0500,2.8181,2.8202,2.8170,2.8201,0.0082
02.01.2020 16:00:00.000 GMT-0500,2.8195,2.8225,2.8195,2.8210,0.0204
02.01.2020 17:00:00.000 GMT-0500,2.8210,2.8210,2.8210,2.8210,0
02.01.2020 18:00:00.000 GMT-0500,2.8232,2.8232,2.8169,2.8170,0.0271
