Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 01:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 02:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 03:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 04:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 05:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 06:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 07:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 08:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 09:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 10:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 11:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 12:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 13:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 14:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 15:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 16:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 17:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 18:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 19:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 20:00:00.000 GMT-0500,68.871,68.871,68.871,68.871,0
01.01.2020 21:00:00.000 GMT-0500,69.236,69.645,69.083,69.295,35.55
01.01.2020 22:00:00.000 GMT-0500,69.280,69.281,69.080,69.110,18.39
01.01.2020 23:00:00.000 GMT-0500,69.135,69.210,69.068,69.200,5.62
02.01.2020 00:00:00.000 GMT-0500,69.194,69.240,69.119,69.154,9.94
02.01.2020 01:00:00.000 GMT-0500,69.151,69.205,68.946,69.180,17.25
02.01.2020 02:00:00.000 GMT-0500,69.190,69.277,69.124,69.130,14.61
02.01.2020 03:00:00.000 GMT-0500,69.128,69.265,69.060,69.227,12
02.01.2020 04:00:00.000 GMT-0500,69.250,69.358,69.217,69.217,22.32
02.01.2020 05:00:00.000 GMT-0500,69.235,69.355,69.168,69.240,21.75
02.01.2020 06:00:00.000 GMT-0500,69.240,69.400,69.215,69.379,20.63
02.01.2020 07:00:00.000 GMT-0500,69.394,69.405,69.248,69.251,23.68
02.01.2020 08:00:00.000 GMT-0500,69.250,69.630,69.080,69.498,53.77
02.01.2020 09:00:00.000 GMT-0500,69.477,69.630,69.187,69.592,51.53
02.01.2020 10:00:00.000 GMT-0500,69.596,69.596,69.225,69.490,75.82
02.01.2020 11:00:00.000 GMT-0500,69.495,69.495,69.033,69.131,98.79
02.01.2020 12:00:00.000 GMT-0500,69.134,69.565,69.060,69.547,229.59
02.01.2020 13:00:00.000 GMT-0500,69.545,69.605,69.416,69.525,193.28
02.01.2020 14:00:00.000 GMT-0500,69.505,69.525,69.086,69.103,59.09
02.01.2020 15:00:00.000 GMT-0500,69.103,69.103,69.103,69.103,0
02.01.2020 16:00:00.000 GMT-0500,69.103,69.103,69.103,69.103,0
02.01.2020 17:00:00.000 GMT-0500,69.103,69.103,69.103,69.103,0
