Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 01:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 02:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 03:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 04:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 05:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 06:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 07:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 08:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 09:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 10:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 11:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 12:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 13:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 14:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 15:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 16:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 17:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 18:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 19:00:00.000 GMT-0500,614.788,614.788,614.788,614.788,0
01.01.2020 20:00:00.000 GMT-0500,616.814,617.290,615.932,615.941,0.107
01.01.2020 21:00:00.000 GMT-0500,615.944,616.790,615.938,615.965,0.0676
01.01.2020 22:00:00.000 GMT-0500,616.209,616.697,615.817,616.040,0.0555
01.01.2020 23:00:00.000 GMT-0500,615.944,616.040,615.682,615.697,0.0535
02.01.2020 00:00:00.000 GMT-0500,615.808,616.040,615.203,615.697,0.0993
02.01.2020 01:00:00.000 GMT-0500,615.703,616.218,615.194,615.938,0.1017
02.01.2020 02:00:00.000 GMT-0500,615.932,617.447,615.932,617.218,0.1837
02.01.2020 03:00:00.000 GMT-0500,617.306,618.062,616.185,618.038,0.4105
02.01.2020 04:00:00.000 GMT-0500,618.288,618.890,615.535,616.544,0.4588
02.01.2020 05:00:00.000 GMT-0500,616.547,617.640,615.661,616.291,0.3218
02.01.2020 06:00:00.000 GMT-0500,616.288,618.140,616.038,617.282,0.3328
02.01.2020 07:00:00.000 GMT-0500,617.414,619.390,616.282,616.565,0.3138
02.01.2020 08:00:00.000 GMT-0500,616.309,617.315,614.282,616.806,0.4826
02.01.2020 09:00:00.000 GMT-0500,616.788,617.685,615.179,616.890,0.6284
02.01.2020 10:00:00.000 GMT-0500,617.667,618.315,614.288,616.429,0.7617
02.01.2020 11:00:00.000 GMT-0500,616.315,617.818,613.032,613.818,0.7597
02.01.2020 12:00:00.000 GMT-0500,613.812,615.140,613.038,614.788,0.4288
02.01.2020 13:00:00.000 GMT-0500,614.788,615.140,613.782,615.062,0.3014
02.01.2020 14:00:00.000 GMT-0500,615.050,617.065,614.300,615.890,0.5459
02.01.2020 15:00:00.000 GMT-0500,615.818,616.185,615.282,615.890,0.1381
02.01.2020 16:00:00.000 GMT-0500,615.890,616.435,615.702,615.926,0.1092
02.01.2020 17:00:00.000 GMT-0500,615.926,615.926,615.926,615.926,0
02.01.2020 18:00:00.000 GMT-0500,615.926,615.926,615.926,615.926,0
02.01.2020 19:00:00.000 GMT-0500,615.926,615.926,615.926,615.926,0
02.01.2020 20:00:00.000 GMT-0500,615.956,624.697,615.941,624.694,0.374
02.01.2020 21:00:00.000 GMT-0500,624.718,635.718,623.552,629.194,0.5853
02.01.2020 22:00:00.000 GMT-0500,629.182,630.290,628.058,629.160,0.1993
02.01.2020 23:00:00.000 GMT-0500,629.055,630.709,628.802,630.465,0.248
03.01.2020 00:00:00.000 GMT-0500,630.432,631.218,628.935,629.320,0.1762
03.01.2020 01:00:00.000 GMT-0500,629.335,632.218,628.938,631.817,0.222
03.01.2020 02:00:00.000 GMT-0500,631.558,634.910,631.185,633.956,0.3719
03.01.2020 03:00:00.000 GMT-0500,633.908,634.890,631.788,632.556,0.6265
03.01.2020 04:00:00.000 GMT-0500,632.547,634.306,631.535,633.550,0.5777
03.01.2020 05:00:00.000 GMT-0500,633.538,641.553,633.285,638.550,0.7742
03.01.2020 06:00:00.000 GMT-0500,638.544,639.318,635.426,637.309,0.7785
03.01.2020 07:00:00.000 GMT-0500,637.288,637.438,634.782,636.661,0.6576
03.01.2020 08:00:00.000 GMT-0500,636.788,638.640,632.532,634.785,0.7528
03.01.2020 09:00:00.000 GMT-0500,634.550,634.640,630.556,633.803,0.9158
03.01.2020 10:00:00.000 GMT-0500,633.565,634.532,630.306,630.535,0.8629
03.01.2020 11:00:00.000 GMT-0500,630.902,631.559,623.676,626.140,1.1104
03.01.2020 12:00:00.000 GMT-0500,626.140,627.553,625.032,626.059,0.7717
03.01.2020 13:00:00.000 GMT-0500,626.309,632.432,625.532,630.902,1.0627
03.01.2020 14:00:00.000 GMT-0500,630.908,631.260,627.532,627.785,0.8081
03.01.2020 15:00:00.000 GMT-0500,627.788,628.661,627.655,627.658,0.2528
03.01.2020 16:00:00.000 GMT-0500,627.791,629.010,627.661,628.229,0.1294
03.01.2020 17:00:00.000 GMT-0500,628.229,628.229,628.229,628.229,0
03.01.2020 18:00:00.000 GMT-0500,628.229,628.229,628.229,628.229,0
03.01.2020 19:00:00.000 GMT-0500,628.229,628.229,628.229,628.229,0
03.01.2020 20:00:00.000 GMT-0500,628.229,628.229,628.229,628.229,0
03.01.2020 21:00:00.000 GMT-0500,628.229,628.229,628.229,628.229,0
