Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 01:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 02:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 03:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 04:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 05:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 06:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 07:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 08:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 09:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 10:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 11:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 12:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 13:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 14:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 15:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 16:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 17:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 18:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 19:00:00.000 GMT-0500,96.134,96.134,96.134,96.134,0
01.01.2020 20:00:00.000 GMT-0500,96.134,96.141,96.087,96.109,8.2155
01.01.2020 21:00:00.000 GMT-0500,96.113,96.136,96.097,96.107,4.3029
01.01.2020 22:00:00.000 GMT-0500,96.109,96.218,96.107,96.207,5.3493
01.01.2020 23:00:00.000 GMT-0500,96.208,96.286,96.197,96.284,3.1149
02.01.2020 00:00:00.000 GMT-0500,96.284,96.298,96.270,96.270,4.9254
02.01.2020 01:00:00.000 GMT-0500,96.272,96.273,96.208,96.208,4.8947
02.01.2020 02:00:00.000 GMT-0500,96.222,96.256,96.207,96.212,15.4066
02.01.2020 03:00:00.000 GMT-0500,96.216,96.242,96.187,96.194,14.8239
02.01.2020 04:00:00.000 GMT-0500,96.199,96.281,96.182,96.271,12.1936
02.01.2020 05:00:00.000 GMT-0500,96.276,96.341,96.267,96.304,12.8312
02.01.2020 06:00:00.000 GMT-0500,96.307,96.401,96.289,96.387,13.8179
02.01.2020 07:00:00.000 GMT-0500,96.390,96.412,96.334,96.343,7.4344
02.01.2020 08:00:00.000 GMT-0500,96.345,96.366,96.312,96.327,24.7254
02.01.2020 09:00:00.000 GMT-0500,96.332,96.509,96.327,96.483,16.3243
02.01.2020 10:00:00.000 GMT-0500,96.484,96.495,96.229,96.238,21.9933
02.01.2020 11:00:00.000 GMT-0500,96.233,96.528,96.219,96.504,22.8585
02.01.2020 12:00:00.000 GMT-0500,96.506,96.546,96.487,96.493,17.204
02.01.2020 13:00:00.000 GMT-0500,96.493,96.533,96.467,96.479,17.7416
02.01.2020 14:00:00.000 GMT-0500,96.481,96.526,96.477,96.514,13.4
02.01.2020 15:00:00.000 GMT-0500,96.514,96.521,96.462,96.485,8.1306
02.01.2020 16:00:00.000 GMT-0500,96.485,96.485,96.485,96.485,0
02.01.2020 17:00:00.000 GMT-0500,96.485,96.485,96.485,96.485,0
02.01.2020 18:00:00.000 GMT-0500,96.485,96.485,96.485,96.485,0
02.01.2020 19:00:00.000 GMT-0500,96.485,96.485,96.485,96.485,0
02.01.2020 20:00:00.000 GMT-0500,96.424,96.434,96.385,96.416,5.7981
02.01.2020 21:00:00.000 GMT-0500,96.414,96.431,96.379,96.423,6.6835
02.01.2020 22:00:00.000 GMT-0500,96.429,96.456,96.417,96.442,5.79
02.01.2020 23:00:00.000 GMT-0500,96.440,96.466,96.427,96.463,5.1698
03.01.2020 00:00:00.000 GMT-0500,96.463,96.506,96.459,96.482,5.83
03.01.2020 01:00:00.000 GMT-0500,96.488,96.511,96.467,96.471,4.8798
03.01.2020 02:00:00.000 GMT-0500,96.471,96.566,96.457,96.551,11.6394
03.01.2020 03:00:00.000 GMT-0500,96.544,96.576,96.499,96.571,15.4539
03.01.2020 04:00:00.000 GMT-0500,96.566,96.696,96.559,96.687,9.8897
03.01.2020 05:00:00.000 GMT-0500,96.691,96.738,96.664,96.699,11.6223
03.01.2020 06:00:00.000 GMT-0500,96.698,96.783,96.698,96.754,6.8313
03.01.2020 07:00:00.000 GMT-0500,96.756,96.769,96.663,96.681,8.5188
03.01.2020 08:00:00.000 GMT-0500,96.683,96.689,96.587,96.684,9.2689
03.01.2020 09:00:00.000 GMT-0500,96.686,96.703,96.592,96.611,22.1181
03.01.2020 10:00:00.000 GMT-0500,96.515,96.599,96.479,96.521,35.7244
03.01.2020 11:00:00.000 GMT-0500,96.512,96.519,96.389,96.449,25.9078
03.01.2020 12:00:00.000 GMT-0500,96.447,96.483,96.434,96.455,14.1213
03.01.2020 13:00:00.000 GMT-0500,96.458,96.528,96.447,96.514,13.2218
03.01.2020 14:00:00.000 GMT-0500,96.516,96.556,96.503,96.504,14.3953
03.01.2020 15:00:00.000 GMT-0500,96.511,96.568,96.507,96.549,12.3379
03.01.2020 16:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 17:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 18:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 19:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 20:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 21:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 22:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
03.01.2020 23:00:00.000 GMT-0500,96.549,96.549,96.549,96.549,0
