Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 01:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 02:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 03:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 04:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 05:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 06:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 07:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 08:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 09:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 10:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 11:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 12:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 13:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 14:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 15:00:00.000 GMT-0500,127,127,127,127,0
01.01.2020 16:00:00.000 GMT-0500,130,130,130,130,0.125
01.01.2020 17:00:00.000 GMT-0500,130,130,128,128,1.6053
01.01.2020 18:00:00.000 GMT-0500,128,129,128,129,0.9758
01.01.2020 19:00:00.000 GMT-0500,129,129,128,129,0.732
01.01.2020 20:00:00.000 GMT-0500,129,129,128,128,0.5845
01.01.2020 21:00:00.000 GMT-0500,128,128,127,128,1.6332
01.01.2020 22:00:00.000 GMT-0500,128,128,127,127,1.3315
01.01.2020 23:00:00.000 GMT-0500,127,128,127,127,0.8677
02.01.2020 00:00:00.000 GMT-0500,128,128,127,128,0.665
02.01.2020 01:00:00.000 GMT-0500,127,128,127,127,0.9567
02.01.2020 02:00:00.000 GMT-0500,127,128,127,127,2.027
02.01.2020 03:00:00.000 GMT-0500,127,128,127,128,1.0128
02.01.2020 04:00:00.000 GMT-0500,128,128,127,128,0.7638
02.01.2020 05:00:00.000 GMT-0500,128,128,128,128,0.9805
02.01.2020 06:00:00.000 GMT-0500,128,128,127,128,0.5307
02.01.2020 07:00:00.000 GMT-0500,128,128,128,128,0.9688
02.01.2020 08:00:00.000 GMT-0500,128,128,127,127,1.3322
02.01.2020 09:00:00.000 GMT-0500,127,128,127,127,1.1343
02.01.2020 10:00:00.000 GMT-0500,128,128,127,128,1.0197
02.01.2020 11:00:00.000 GMT-0500,128,128,125,126,4.0468
02.01.2020 12:00:00.000 GMT-0500,126,126,124,125,5.7638
02.01.2020 13:00:00.000 GMT-0500,126,126,125,126,1.5963
02.01.2020 14:00:00.000 GMT-0500,126,126,125,126,1.4085
02.01.2020 15:00:00.000 GMT-0500,126,126,125,125,1.3425
02.01.2020 16:00:00.000 GMT-0500,125,126,125,126,0.953
02.01.2020 17:00:00.000 GMT-0500,126,126,125,125,0.6435
02.01.2020 18:00:00.000 GMT-0500,125,126,125,125,1.7775
02.01.2020 19:00:00.000 GMT-0500,125,126,125,125,1.6485
02.01.2020 20:00:00.000 GMT-0500,125,125,124,124,1.1643
02.01.2020 21:00:00.000 GMT-0500,124,125,124,125,2.6588
02.01.2020 22:00:00.000 GMT-0500,125,125,125,125,0.825
02.01.2020 23:00:00.000 GMT-0500,125,128,125,128,4.526
03.01.2020 00:00:00.000 GMT-0500,128,128,127,127,1.8307
03.01.2020 01:00:00.000 GMT-0500,127,128,127,127,2.2067
03.01.2020 02:00:00.000 GMT-0500,128,128,127,127,1.4787
03.01.2020 03:00:00.000 GMT-0500,127,131,127,130,5.76
03.01.2020 04:00:00.000 GMT-0500,131,131,130,131,3.0887
03.01.2020 05:00:00.000 GMT-0500,131,131,130,130,2.2773
03.01.2020 06:00:00.000 GMT-0500,130,131,130,131,2.8895
03.01.2020 07:00:00.000 GMT-0500,131,131,130,131,2.1033
