Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 01:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 02:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 03:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 04:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 05:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 06:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 07:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 08:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 09:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 10:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 11:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 12:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 13:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 14:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 15:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 16:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 17:00:00.000 GMT-0500,2.1790,2.1790,2.1790,2.1790,0
01.01.2020 18:00:00.000 GMT-0500,2.1800,2.1800,2.1673,2.1740,0.1279
01.01.2020 19:00:00.000 GMT-0500,2.1745,2.1784,2.1612,2.1640,0.1427
01.01.2020 20:00:00.000 GMT-0500,2.1650,2.1720,2.1633,2.1692,0.1452
01.01.2020 21:00:00.000 GMT-0500,2.1704,2.1705,2.1664,2.1664,0.044
01.01.2020 22:00:00.000 GMT-0500,2.1652,2.1670,2.1642,2.1663,0.181
01.01.2020 23:00:00.000 GMT-0500,2.1653,2.1680,2.1652,2.1670,0.1213
02.01.2020 00:00:00.000 GMT-0500,2.1665,2.1695,2.1552,2.1603,0.3641
02.01.2020 01:00:00.000 GMT-0500,2.1612,2.1634,2.1562,2.1585,0.2003
02.01.2020 02:00:00.000 GMT-0500,2.1583,2.1615,2.1482,2.1563,0.0884
02.01.2020 03:00:00.000 GMT-0500,2.1555,2.1610,2.1542,2.1610,0.0418
02.01.2020 04:00:00.000 GMT-0500,2.1595,2.1655,2.1583,2.1624,0.0369
02.01.2020 05:00:00.000 GMT-0500,2.1614,2.1633,2.1582,2.1603,0.0719
02.01.2020 06:00:00.000 GMT-0500,2.1605,2.1820,2.1602,2.1790,0.1842
02.01.2020 07:00:00.000 GMT-0500,2.1812,2.1874,2.1762,2.1814,0.175
02.01.2020 08:00:00.000 GMT-0500,2.1812,2.1820,2.1662,2.1672,0.2447
02.01.2020 09:00:00.000 GMT-0500,2.1685,2.1690,2.1464,2.1500,1.2662
02.01.2020 10:00:00.000 GMT-0500,2.1483,2.1520,2.1234,2.1273,2.2064
