Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 01:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 02:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 03:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 04:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 05:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 06:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 07:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 08:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 09:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 10:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 11:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 12:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 13:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 14:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 15:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 16:00:00.000 GMT-0500,1.32559,1.32559,1.32559,1.32559,0
01.01.2020 17:00:00.000 GMT-0500,1.32463,1.32548,1.32457,1.32467,10191.5
01.01.2020 18:00:00.000 GMT-0500,1.32469,1.32608,1.32469,1.32497,2881.8401
01.01.2020 19:00:00.000 GMT-0500,1.32497,1.32620,1.32466,1.32565,4865.04
01.01.2020 20:00:00.000 GMT-0500,1.32565,1.32661,1.32532,1.32555,5835.3701
01.01.2020 21:00:00.000 GMT-0500,1.32554,1.32559,1.32435,1.32481,4305.6899
01.01.2020 22:00:00.000 GMT-0500,1.32483,1.32492,1.32023,1.32093,5803.8799
01.01.2020 23:00:00.000 GMT-0500,1.32094,1.32175,1.32026,1.32071,5281.2598
02.01.2020 00:00:00.000 GMT-0500,1.32069,1.32137,1.32017,1.32130,6047.3999
02.01.2020 01:00:00.000 GMT-0500,1.32133,1.32238,1.32059,1.32216,5008.9199
02.01.2020 02:00:00.000 GMT-0500,1.32216,1.32294,1.32094,1.32193,8374.7803
02.01.2020 03:00:00.000 GMT-0500,1.32195,1.32304,1.32090,1.32219,10101.6299
02.01.2020 04:00:00.000 GMT-0500,1.32215,1.32269,1.32096,1.32140,6760.7798
02.01.2020 05:00:00.000 GMT-0500,1.32141,1.32146,1.32049,1.32111,6387.1001
02.01.2020 06:00:00.000 GMT-0500,1.32110,1.32113,1.31888,1.31996,7738.0498
02.01.2020 07:00:00.000 GMT-0500,1.31996,1.32125,1.31905,1.31969,7803.3501
02.01.2020 08:00:00.000 GMT-0500,1.31967,1.31971,1.31711,1.31764,23821.5801
02.01.2020 09:00:00.000 GMT-0500,1.31764,1.31776,1.31351,1.31472,17420.1699
02.01.2020 10:00:00.000 GMT-0500,1.31471,1.31942,1.31454,1.31889,54153.5
02.01.2020 11:00:00.000 GMT-0500,1.31889,1.31892,1.31231,1.31270,20839.9102
02.01.2020 12:00:00.000 GMT-0500,1.31270,1.31343,1.31152,1.31339,8597.6904
02.01.2020 13:00:00.000 GMT-0500,1.31343,1.31434,1.31249,1.31394,7285.5898
02.01.2020 14:00:00.000 GMT-0500,1.31393,1.31404,1.31278,1.31289,5852.0498
02.01.2020 15:00:00.000 GMT-0500,1.31289,1.31452,1.31288,1.31385,5795.9702
02.01.2020 16:00:00.000 GMT-0500,1.31386,1.31419,1.31348,1.31349,2225.24
02.01.2020 17:00:00.000 GMT-0500,1.31349,1.31477,1.31308,1.31316,3170.3
02.01.2020 18:00:00.000 GMT-0500,1.31335,1.31477,1.31315,1.31467,3203.1299
02.01.2020 19:00:00.000 GMT-0500,1.31466,1.31566,1.31396,1.31550,4719.21
02.01.2020 20:00:00.000 GMT-0500,1.31550,1.31600,1.31342,1.31372,4713.6401
02.01.2020 21:00:00.000 GMT-0500,1.31374,1.31432,1.31228,1.31273,7452.25
02.01.2020 22:00:00.000 GMT-0500,1.31273,1.31379,1.31264,1.31359,6437.6001
02.01.2020 23:00:00.000 GMT-0500,1.31358,1.31372,1.31241,1.31257,4578.1699
03.01.2020 00:00:00.000 GMT-0500,1.31256,1.31289,1.31155,1.31207,5625.6499
03.01.2020 01:00:00.000 GMT-0500,1.31207,1.31236,1.31050,1.31232,5482.6001
03.01.2020 02:00:00.000 GMT-0500,1.31232,1.31232,1.30825,1.30910,11804.0596
03.01.2020 03:00:00.000 GMT-0500,1.30910,1.31175,1.30862,1.30974,12753.1904
03.01.2020 04:00:00.000 GMT-0500,1.30973,1.31007,1.30663,1.30675,13856.3896
03.01.2020 05:00:00.000 GMT-0500,1.30675,1.30879,1.30675,1.30783,9825.8398
03.01.2020 06:00:00.000 GMT-0500,1.30783,1.30785,1.30531,1.30586,8579.3096
03.01.2020 07:00:00.000 GMT-0500,1.30586,1.30821,1.30539,1.30799,8736.1104
03.01.2020 08:00:00.000 GMT-0500,1.30801,1.31093,1.30718,1.30719,8608.2695
03.01.2020 09:00:00.000 GMT-0500,1.30720,1.30896,1.30672,1.30692,9152.4102
03.01.2020 10:00:00.000 GMT-0500,1.30708,1.30940,1.30690,1.30713,10920.0498
03.01.2020 11:00:00.000 GMT-0500,1.30712,1.30987,1.30692,1.30894,10434.5195
03.01.2020 12:00:00.000 GMT-0500,1.30894,1.30934,1.30801,1.30879,7282.23
03.01.2020 13:00:00.000 GMT-0500,1.30878,1.30896,1.30725,1.30841,7440.2202
03.01.2020 14:00:00.000 GMT-0500,1.30841,1.30846,1.30744,1.30784,9464.0801
03.01.2020 15:00:00.000 GMT-0500,1.30790,1.30790,1.30716,1.30732,2227.47
03.01.2020 16:00:00.000 GMT-0500,1.30731,1.30804,1.30705,1.30787,2251.9299
03.01.2020 17:00:00.000 GMT-0500,1.30787,1.30787,1.30787,1.30787,0
03.01.2020 18:00:00.000 GMT-0500,1.30787,1.30787,1.30787,1.30787,0
03.01.2020 19:00:00.000 GMT-0500,1.30787,1.30787,1.30787,1.30787,0
03.01.2020 20:00:00.000 GMT-0500,1.30787,1.30787,1.30787,1.30787,0
03.01.2020 21:00:00.000 GMT-0500,1.30787,1.30787,1.30787,1.30787,0
