Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 01:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 02:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 03:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 04:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 05:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 06:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 07:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 08:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 09:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 10:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 11:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 12:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 13:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 14:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 15:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 16:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 17:00:00.000 GMT-0500,61.175,61.175,61.175,61.175,0
01.01.2020 18:00:00.000 GMT-0500,61.391,61.496,61.295,61.295,0.0657
01.01.2020 19:00:00.000 GMT-0500,61.305,61.356,61.265,61.335,0.0383
01.01.2020 20:00:00.000 GMT-0500,61.345,61.416,61.235,61.275,0.082
01.01.2020 21:00:00.000 GMT-0500,61.265,61.326,61.255,61.276,0.0311
01.01.2020 22:00:00.000 GMT-0500,61.275,61.296,61.205,61.226,0.032
01.01.2020 23:00:00.000 GMT-0500,61.216,61.236,61.205,61.205,0.0162
02.01.2020 00:00:00.000 GMT-0500,61.205,61.226,61.165,61.216,0.0288
02.01.2020 01:00:00.000 GMT-0500,61.206,61.226,61.115,61.206,0.0361
02.01.2020 02:00:00.000 GMT-0500,61.205,61.316,61.175,61.295,0.0669
02.01.2020 03:00:00.000 GMT-0500,61.296,61.416,61.255,61.395,0.2367
02.01.2020 04:00:00.000 GMT-0500,61.405,61.426,61.055,61.175,0.2758
02.01.2020 05:00:00.000 GMT-0500,61.196,61.266,61.055,61.075,0.1708
02.01.2020 06:00:00.000 GMT-0500,61.091,61.216,60.935,61.105,0.2487
02.01.2020 07:00:00.000 GMT-0500,61.106,61.206,60.975,61.025,0.2457
02.01.2020 08:00:00.000 GMT-0500,61.026,61.136,60.885,61.126,0.3426
02.01.2020 09:00:00.000 GMT-0500,61.110,61.296,61.005,61.146,0.7336
02.01.2020 10:00:00.000 GMT-0500,61.166,61.346,60.785,61.166,0.796
02.01.2020 11:00:00.000 GMT-0500,61.156,61.186,60.635,60.835,0.8274
02.01.2020 12:00:00.000 GMT-0500,60.856,60.926,60.755,60.876,0.2296
02.01.2020 13:00:00.000 GMT-0500,60.866,60.976,60.805,60.935,0.2125
02.01.2020 14:00:00.000 GMT-0500,60.925,61.246,60.925,61.125,0.4099
02.01.2020 15:00:00.000 GMT-0500,61.135,61.136,61.065,61.126,0.0505
02.01.2020 16:00:00.000 GMT-0500,61.136,61.186,61.105,61.145,0.0369
02.01.2020 17:00:00.000 GMT-0500,61.145,61.145,61.145,61.145,0
02.01.2020 18:00:00.000 GMT-0500,61.156,61.181,61.115,61.115,0.0312
02.01.2020 19:00:00.000 GMT-0500,61.136,61.166,61.095,61.135,0.0229
02.01.2020 20:00:00.000 GMT-0500,61.135,62.281,61.105,62.275,0.351
02.01.2020 21:00:00.000 GMT-0500,62.276,63.816,62.115,62.856,0.994
02.01.2020 22:00:00.000 GMT-0500,62.825,63.006,62.665,62.795,0.3423
02.01.2020 23:00:00.000 GMT-0500,62.785,63.046,62.775,63.005,0.0982
03.01.2020 00:00:00.000 GMT-0500,63.006,63.136,62.805,62.855,0.182
03.01.2020 01:00:00.000 GMT-0500,62.845,62.901,62.795,62.836,0.1172
03.01.2020 02:00:00.000 GMT-0500,62.815,63.086,62.805,62.996,0.2148
03.01.2020 03:00:00.000 GMT-0500,62.975,63.116,62.855,63.106,0.3925
03.01.2020 04:00:00.000 GMT-0500,63.100,63.376,63.055,63.336,0.3605
03.01.2020 05:00:00.000 GMT-0500,63.335,64.056,63.295,63.715,0.5528
03.01.2020 06:00:00.000 GMT-0500,63.716,63.861,63.385,63.595,0.5186
03.01.2020 07:00:00.000 GMT-0500,63.616,63.616,63.220,63.405,0.4577
03.01.2020 08:00:00.000 GMT-0500,63.395,63.656,63.100,63.375,0.5333
03.01.2020 09:00:00.000 GMT-0500,63.396,63.496,63.115,63.466,0.7981
03.01.2020 10:00:00.000 GMT-0500,63.455,63.576,63.175,63.231,0.7601
03.01.2020 11:00:00.000 GMT-0500,63.236,63.496,62.205,62.541,1.1935
03.01.2020 12:00:00.000 GMT-0500,62.535,62.821,62.445,62.626,0.5946
03.01.2020 13:00:00.000 GMT-0500,62.605,63.366,62.575,63.031,0.879
03.01.2020 14:00:00.000 GMT-0500,63.015,63.296,62.815,62.955,0.6826
03.01.2020 15:00:00.000 GMT-0500,62.956,63.086,62.935,62.935,0.1434
03.01.2020 16:00:00.000 GMT-0500,62.945,63.056,62.935,63.026,0.0341
03.01.2020 17:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 18:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 19:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 20:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 21:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 22:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
03.01.2020 23:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 00:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 01:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 02:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 03:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 04:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 05:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 06:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 07:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 08:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 09:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 10:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 11:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 12:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 13:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 14:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
04.01.2020 15:00:00.000 GMT-0500,63.026,63.026,63.026,63.026,0
