Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 01:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 02:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 03:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 04:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 05:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 06:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 07:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 08:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 09:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 10:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 11:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 12:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 13:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 14:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 15:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 16:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 17:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 18:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 19:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 20:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 21:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 22:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 23:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 00:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 01:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 02:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 03:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 04:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 05:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 06:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 07:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 08:00:00.000 GMT-0500,99.112,100.030,99.003,99.685,1.8175
02.01.2020 09:00:00.000 GMT-0500,99.750,99.950,99.611,99.900,2.16
02.01.2020 10:00:00.000 GMT-0500,99.924,100.750,99.817,100.341,2.6975
02.01.2020 11:00:00.000 GMT-0500,100.188,100.188,99.511,99.805,2.7475
02.01.2020 12:00:00.000 GMT-0500,99.950,99.950,99.508,99.900,3.0075
02.01.2020 13:00:00.000 GMT-0500,100.050,100.380,99.638,100.124,3.285
02.01.2020 14:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 15:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 16:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 17:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 18:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 19:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 20:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 21:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 22:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 23:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 00:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 01:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
