Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 01:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 02:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 03:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 04:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 05:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 06:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 07:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 08:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 09:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 10:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 11:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 12:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 13:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 14:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 15:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 16:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 17:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 18:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 19:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 20:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 21:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 22:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
01.01.2020 23:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 00:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 01:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 02:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 03:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 04:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 05:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 06:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 07:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 08:00:00.000 GMT-0500,954.650,954.650,954.650,954.650,0
02.01.2020 09:00:00.000 GMT-0500,954.910,958.160,953.000,957.770,90.1242
02.01.2020 10:00:00.000 GMT-0500,957.620,960.160,956.240,959.910,137.5004
02.01.2020 11:00:00.000 GMT-0500,959.910,959.910,954.740,957.280,187.0125
02.01.2020 12:00:00.000 GMT-0500,957.270,959.660,957.250,959.040,130.0046
02.01.2020 13:00:00.000 GMT-0500,958.890,959.410,954.490,956.270,135.4072
02.01.2020 14:00:00.000 GMT-0500,956.520,958.410,954.000,954.500,75.1774
02.01.2020 15:00:00.000 GMT-0500,954.500,954.500,954.500,954.500,0
