Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 01:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 02:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 03:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 04:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 05:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 06:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 07:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 08:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 09:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 10:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 11:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 12:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 13:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 14:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 15:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 16:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 17:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 18:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 19:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 20:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 21:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 22:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
01.01.2020 23:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
02.01.2020 00:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
02.01.2020 01:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
02.01.2020 02:00:00.000 GMT-0500,359.178,359.178,359.178,359.178,0
02.01.2020 03:00:00.000 GMT-0500,359.169,360.480,359.169,360.463,0.0095
02.01.2020 04:00:00.000 GMT-0500,360.560,360.672,359.469,360.672,0.0325
02.01.2020 05:00:00.000 GMT-0500,360.613,360.780,359.463,359.707,0.029
02.01.2020 06:00:00.000 GMT-0500,359.760,360.380,359.572,359.775,0.0278
02.01.2020 07:00:00.000 GMT-0500,359.816,360.130,359.457,359.769,0.0223
02.01.2020 08:00:00.000 GMT-0500,359.925,360.028,358.604,358.810,0.049
02.01.2020 09:00:00.000 GMT-0500,358.922,358.922,355.754,355.875,0.0638
02.01.2020 10:00:00.000 GMT-0500,355.778,355.822,352.869,353.269,0.0774
02.01.2020 11:00:00.000 GMT-0500,353.222,353.313,351.257,351.363,0.0995
02.01.2020 12:00:00.000 GMT-0500,351.463,352.672,350.969,352.557,0.0842
02.01.2020 13:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 14:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 15:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 16:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 17:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 18:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 19:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 20:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 21:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 22:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
02.01.2020 23:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
03.01.2020 00:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
03.01.2020 01:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
03.01.2020 02:00:00.000 GMT-0500,352.557,352.557,352.557,352.557,0
03.01.2020 03:00:00.000 GMT-0500,354.663,355.830,354.363,355.572,0.0215
03.01.2020 04:00:00.000 GMT-0500,355.704,357.730,355.554,357.254,0.0437
03.01.2020 05:00:00.000 GMT-0500,357.322,357.913,356.810,357.913,0.0441
03.01.2020 06:00:00.000 GMT-0500,358.016,358.480,356.904,357.119,0.0536
03.01.2020 07:00:00.000 GMT-0500,357.230,357.230,355.454,355.919,0.0518
03.01.2020 08:00:00.000 GMT-0500,356.004,357.230,354.907,355.963,0.0755
03.01.2020 09:00:00.000 GMT-0500,356.013,357.104,355.704,355.910,0.0517
03.01.2020 10:00:00.000 GMT-0500,355.966,357.407,355.657,356.928,0.0463
03.01.2020 11:00:00.000 GMT-0500,357.030,357.669,356.328,356.722,0.064
03.01.2020 12:00:00.000 GMT-0500,356.866,357.560,356.263,357.080,0.0581
03.01.2020 13:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 14:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 15:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 16:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 17:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 18:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 19:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 20:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 21:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 22:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
03.01.2020 23:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 00:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 01:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 02:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 03:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 04:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 05:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 06:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 07:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 08:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 09:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 10:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 11:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 12:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 13:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 14:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 15:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 16:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 17:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 18:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 19:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 20:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 21:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 22:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
04.01.2020 23:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 00:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 01:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 02:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 03:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 04:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 05:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 06:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 07:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 08:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 09:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
05.01.2020 10:00:00.000 GMT-0500,357.080,357.080,357.080,357.080,0
