Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 01:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 02:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 03:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 04:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 05:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 06:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 07:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 08:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 09:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 10:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 11:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 12:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 13:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 14:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 15:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 16:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 17:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 18:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 19:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 20:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 21:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 22:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
01.01.2020 23:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
02.01.2020 00:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
02.01.2020 01:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
02.01.2020 02:00:00.000 GMT-0500,131.274,131.274,131.274,131.274,0
02.01.2020 03:00:00.000 GMT-0500,130.750,130.895,130.614,130.844,2.99
02.01.2020 04:00:00.000 GMT-0500,130.857,130.964,130.744,130.915,1.6337
02.01.2020 05:00:00.000 GMT-0500,130.915,131.185,130.894,131.155,1.324
02.01.2020 06:00:00.000 GMT-0500,131.144,131.215,131.054,131.194,1.1003
02.01.2020 07:00:00.000 GMT-0500,131.194,131.215,131.098,131.144,0.9945
02.01.2020 08:00:00.000 GMT-0500,131.145,131.405,131.124,131.347,1.5968
02.01.2020 09:00:00.000 GMT-0500,131.354,131.615,131.239,131.584,2.0185
02.01.2020 10:00:00.000 GMT-0500,131.588,131.845,131.588,131.785,2.2929
02.01.2020 11:00:00.000 GMT-0500,131.784,131.905,131.594,131.624,2.303
02.01.2020 12:00:00.000 GMT-0500,131.625,131.635,131.454,131.454,0.8167
02.01.2020 13:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 14:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 15:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 16:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 17:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 18:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 19:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 20:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 21:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 22:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
02.01.2020 23:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
03.01.2020 00:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
03.01.2020 01:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
03.01.2020 02:00:00.000 GMT-0500,131.454,131.454,131.454,131.454,0
03.01.2020 03:00:00.000 GMT-0500,132.054,132.165,131.959,132.130,3.0262
03.01.2020 04:00:00.000 GMT-0500,132.125,132.345,132.074,132.224,2.3617
03.01.2020 05:00:00.000 GMT-0500,132.220,132.355,132.194,132.314,2.1446
03.01.2020 06:00:00.000 GMT-0500,132.314,132.475,132.294,132.414,1.9367
03.01.2020 07:00:00.000 GMT-0500,132.415,132.495,132.264,132.264,2.2529
03.01.2020 08:00:00.000 GMT-0500,132.264,132.285,132.134,132.265,2.3263
03.01.2020 09:00:00.000 GMT-0500,132.264,132.285,132.134,132.184,2.5346
03.01.2020 10:00:00.000 GMT-0500,132.177,132.315,132.084,132.264,3.905
03.01.2020 11:00:00.000 GMT-0500,132.264,132.335,132.194,132.254,1.5835
03.01.2020 12:00:00.000 GMT-0500,132.259,132.345,132.234,132.324,0.7375
03.01.2020 13:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 14:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 15:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 16:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 17:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 18:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 19:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 20:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 21:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 22:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
03.01.2020 23:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 00:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 01:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 02:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 03:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 04:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 05:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 06:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 07:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 08:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 09:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 10:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 11:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 12:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 13:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 14:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 15:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 16:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 17:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 18:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 19:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 20:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 21:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 22:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
04.01.2020 23:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 00:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 01:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 02:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 03:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 04:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 05:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 06:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 07:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 08:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 09:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 10:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 11:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 12:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 13:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 14:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 15:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 16:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 17:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 18:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 19:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 20:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 21:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 22:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
05.01.2020 23:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
06.01.2020 00:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
06.01.2020 01:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
06.01.2020 02:00:00.000 GMT-0500,132.324,132.324,132.324,132.324,0
06.01.2020 03:00:00.000 GMT-0500,132.535,132.560,132.324,132.355,4.2055
06.01.2020 04:00:00.000 GMT-0500,132.354,132.419,132.054,132.124,2.5668
06.01.2020 05:00:00.000 GMT-0500,132.125,132.215,131.994,132.215,2.258
06.01.2020 06:00:00.000 GMT-0500,132.214,132.214,132.065,132.105,1.5925
06.01.2020 07:00:00.000 GMT-0500,132.099,132.175,132.087,132.134,1.5071
06.01.2020 08:00:00.000 GMT-0500,132.135,132.210,132.085,132.095,2.0175
06.01.2020 09:00:00.000 GMT-0500,132.100,132.305,132.094,132.265,2.3331
06.01.2020 10:00:00.000 GMT-0500,132.264,132.315,132.004,132.025,2.1905
06.01.2020 11:00:00.000 GMT-0500,132.024,132.045,131.764,131.895,2.1349
06.01.2020 12:00:00.000 GMT-0500,131.894,131.904,131.794,131.847,0.7821
06.01.2020 13:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 14:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 15:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 16:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 17:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 18:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 19:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 20:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 21:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 22:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
06.01.2020 23:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
07.01.2020 00:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
07.01.2020 01:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
07.01.2020 02:00:00.000 GMT-0500,131.847,131.847,131.847,131.847,0
07.01.2020 03:00:00.000 GMT-0500,131.645,131.655,131.294,131.434,3.0818
07.01.2020 04:00:00.000 GMT-0500,131.437,131.585,131.368,131.504,1.9933
07.01.2020 05:00:00.000 GMT-0500,131.505,131.715,131.454,131.624,2.0793
07.01.2020 06:00:00.000 GMT-0500,131.625,131.848,131.614,131.785,1.4615
07.01.2020 07:00:00.000 GMT-0500,131.779,131.915,131.754,131.794,1.5987
07.01.2020 08:00:00.000 GMT-0500,131.795,131.905,131.669,131.794,2.149
07.01.2020 09:00:00.000 GMT-0500,131.795,131.885,131.774,131.809,1.8922
07.01.2020 10:00:00.000 GMT-0500,131.747,131.805,131.564,131.725,2.4722
07.01.2020 11:00:00.000 GMT-0500,131.724,131.780,131.534,131.624,1.6805
07.01.2020 12:00:00.000 GMT-0500,131.628,131.655,131.584,131.595,0.6217
07.01.2020 13:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 14:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 15:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 16:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 17:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 18:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 19:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 20:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 21:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 22:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
07.01.2020 23:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
08.01.2020 00:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
08.01.2020 01:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
08.01.2020 02:00:00.000 GMT-0500,131.595,131.595,131.595,131.595,0
08.01.2020 03:00:00.000 GMT-0500,131.798,131.815,131.484,131.534,2.8777
08.01.2020 04:00:00.000 GMT-0500,131.537,131.707,131.525,131.683,2.0412
08.01.2020 05:00:00.000 GMT-0500,131.680,131.737,131.630,131.701,2.4545
08.01.2020 06:00:00.000 GMT-0500,131.703,131.703,131.551,131.618,2.2762
08.01.2020 07:00:00.000 GMT-0500,131.618,131.737,131.551,131.614,2.5032
08.01.2020 08:00:00.000 GMT-0500,131.618,131.637,131.431,131.607,3.0032
08.01.2020 09:00:00.000 GMT-0500,131.601,131.647,131.517,131.576,2.9657
08.01.2020 10:00:00.000 GMT-0500,131.575,131.717,131.555,131.641,2.6905
08.01.2020 11:00:00.000 GMT-0500,131.646,131.656,131.241,131.284,3.8617
08.01.2020 12:00:00.000 GMT-0500,131.284,131.297,131.161,131.222,1.896
08.01.2020 13:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 14:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 15:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 16:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 17:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 18:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 19:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 20:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 21:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 22:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
08.01.2020 23:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
09.01.2020 00:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
09.01.2020 01:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
09.01.2020 02:00:00.000 GMT-0500,131.222,131.222,131.222,131.222,0
09.01.2020 03:00:00.000 GMT-0500,131.141,131.193,131.021,131.121,3.5313
09.01.2020 04:00:00.000 GMT-0500,131.116,131.617,131.071,131.510,3.8087
09.01.2020 05:00:00.000 GMT-0500,131.511,131.546,131.361,131.401,3.336
09.01.2020 06:00:00.000 GMT-0500,131.402,131.487,131.311,131.461,1.815
09.01.2020 07:00:00.000 GMT-0500,131.457,131.647,131.409,131.614,2.3535
09.01.2020 08:00:00.000 GMT-0500,131.613,131.632,131.391,131.434,2.5268
09.01.2020 09:00:00.000 GMT-0500,131.434,131.454,131.259,131.332,2.8707
09.01.2020 10:00:00.000 GMT-0500,131.335,131.377,131.201,131.206,2.4435
09.01.2020 11:00:00.000 GMT-0500,131.197,131.327,131.171,131.223,2.0965
09.01.2020 12:00:00.000 GMT-0500,131.232,131.357,131.201,131.341,0.9987
09.01.2020 13:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 14:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 15:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 16:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 17:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 18:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 19:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 20:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 21:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 22:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
09.01.2020 23:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
10.01.2020 00:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
10.01.2020 01:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
10.01.2020 02:00:00.000 GMT-0500,131.341,131.341,131.341,131.341,0
10.01.2020 03:00:00.000 GMT-0500,131.431,131.586,131.411,131.517,2.1997
10.01.2020 04:00:00.000 GMT-0500,131.512,131.577,131.302,131.437,2.4948
10.01.2020 05:00:00.000 GMT-0500,131.437,131.606,131.411,131.544,1.912
10.01.2020 06:00:00.000 GMT-0500,131.541,131.637,131.471,131.524,1.478
10.01.2020 07:00:00.000 GMT-0500,131.521,131.532,131.398,131.434,1.5458
10.01.2020 08:00:00.000 GMT-0500,131.437,131.617,131.313,131.431,3.3895
10.01.2020 09:00:00.000 GMT-0500,131.431,131.797,131.399,131.722,3.0982
10.01.2020 10:00:00.000 GMT-0500,131.724,131.757,131.645,131.754,2.2445
10.01.2020 11:00:00.000 GMT-0500,131.752,131.867,131.688,131.814,2.256
10.01.2020 12:00:00.000 GMT-0500,131.818,131.907,131.794,131.848,1.271
10.01.2020 13:00:00.000 GMT-0500,131.848,131.848,131.848,131.848,0
10.01.2020 14:00:00.000 GMT-0500,131.848,131.848,131.848,131.848,0
10.01.2020 15:00:00.000 GMT-0500,131.848,131.848,131.848,131.848,0
