Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 01:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 02:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 03:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 04:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 05:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 06:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 07:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 08:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 09:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 10:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 11:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 12:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 13:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 14:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 15:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 16:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 17:00:00.000 GMT-0500,3233.034,3233.034,3233.034,3233.034,0
01.01.2020 18:00:00.000 GMT-0500,3234.552,3239.046,3233.334,3236.034,2.3309
01.01.2020 19:00:00.000 GMT-0500,3236.034,3237.600,3235.555,3237.349,0.7198
01.01.2020 20:00:00.000 GMT-0500,3237.543,3238.840,3234.534,3236.900,1.9857
01.01.2020 21:00:00.000 GMT-0500,3236.900,3238.600,3236.500,3237.840,0.9864
01.01.2020 22:00:00.000 GMT-0500,3237.840,3239.355,3237.840,3239.049,0.571
01.01.2020 23:00:00.000 GMT-0500,3239.049,3239.055,3238.043,3238.349,0.2087
02.01.2020 00:00:00.000 GMT-0500,3238.349,3238.537,3237.034,3238.537,0.5681
02.01.2020 01:00:00.000 GMT-0500,3238.537,3238.900,3237.834,3238.534,0.4982
02.01.2020 02:00:00.000 GMT-0500,3238.755,3242.052,3238.537,3241.355,1.1571
02.01.2020 03:00:00.000 GMT-0500,3241.355,3246.355,3240.837,3245.840,3.6579
02.01.2020 04:00:00.000 GMT-0500,3245.840,3248.100,3245.537,3247.543,1.9099
02.01.2020 05:00:00.000 GMT-0500,3247.543,3249.355,3247.340,3248.543,0.897
02.01.2020 06:00:00.000 GMT-0500,3248.543,3248.849,3245.837,3245.849,0.7408
02.01.2020 07:00:00.000 GMT-0500,3245.849,3247.900,3245.843,3247.843,0.4701
02.01.2020 08:00:00.000 GMT-0500,3247.843,3250.052,3247.843,3249.600,0.6078
02.01.2020 09:00:00.000 GMT-0500,3249.600,3249.843,3243.640,3247.949,6.2948
02.01.2020 10:00:00.000 GMT-0500,3247.949,3248.200,3235.434,3241.443,7.108
02.01.2020 11:00:00.000 GMT-0500,3241.437,3242.200,3235.137,3240.446,3.577
02.01.2020 12:00:00.000 GMT-0500,3240.446,3244.155,3239.137,3243.446,2.0874
02.01.2020 13:00:00.000 GMT-0500,3243.446,3243.446,3239.437,3241.446,1.6995
02.01.2020 14:00:00.000 GMT-0500,3241.446,3248.252,3241.146,3247.452,1.7894
02.01.2020 15:00:00.000 GMT-0500,3247.452,3257.446,3247.240,3257.234,4.2881
02.01.2020 16:00:00.000 GMT-0500,3257.234,3258.849,3256.634,3258.346,0.8796
02.01.2020 17:00:00.000 GMT-0500,3258.346,3258.346,3258.346,3258.346,0
02.01.2020 18:00:00.000 GMT-0500,3260.040,3262.349,3259.840,3260.046,0.888
02.01.2020 19:00:00.000 GMT-0500,3260.046,3261.552,3259.600,3260.346,0.6716
02.01.2020 20:00:00.000 GMT-0500,3260.346,3261.600,3251.049,3252.100,1.8283
02.01.2020 21:00:00.000 GMT-0500,3252.100,3253.400,3234.034,3237.546,8.2279
02.01.2020 22:00:00.000 GMT-0500,3237.546,3239.355,3230.043,3233.846,3.3558
02.01.2020 23:00:00.000 GMT-0500,3234.043,3239.034,3232.555,3235.843,2.3135
03.01.2020 00:00:00.000 GMT-0500,3235.843,3237.043,3229.555,3232.052,3.1408
03.01.2020 01:00:00.000 GMT-0500,3232.052,3233.540,3230.034,3233.049,1.8998
03.01.2020 02:00:00.000 GMT-0500,3233.049,3233.900,3225.343,3225.834,3.9209
03.01.2020 03:00:00.000 GMT-0500,3225.834,3229.834,3221.549,3226.100,5.3004
03.01.2020 04:00:00.000 GMT-0500,3226.355,3226.555,3219.534,3222.346,3.7511
03.01.2020 05:00:00.000 GMT-0500,3222.346,3224.843,3205.834,3210.349,3.8336
03.01.2020 06:00:00.000 GMT-0500,3210.349,3216.900,3208.843,3213.540,3.0788
03.01.2020 07:00:00.000 GMT-0500,3213.900,3223.349,3213.043,3222.340,2.5991
03.01.2020 08:00:00.000 GMT-0500,3222.340,3230.855,3222.334,3226.355,4.041
03.01.2020 09:00:00.000 GMT-0500,3225.852,3238.500,3219.434,3236.449,9.7371
03.01.2020 10:00:00.000 GMT-0500,3233.200,3240.637,3229.146,3234.740,11.1912
03.01.2020 11:00:00.000 GMT-0500,3234.740,3242.000,3230.749,3241.000,6.3634
03.01.2020 12:00:00.000 GMT-0500,3241.000,3245.955,3240.752,3243.752,3.7473
03.01.2020 13:00:00.000 GMT-0500,3243.949,3245.000,3232.937,3238.949,7.7792
03.01.2020 14:00:00.000 GMT-0500,3238.949,3242.737,3235.440,3241.955,5.1613
03.01.2020 15:00:00.000 GMT-0500,3241.955,3244.949,3234.237,3235.200,7.9711
03.01.2020 16:00:00.000 GMT-0500,3234.737,3236.852,3233.737,3235.140,1.1441
03.01.2020 17:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 18:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 19:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 20:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 21:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 22:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
03.01.2020 23:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 00:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 01:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 02:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 03:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 04:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 05:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 06:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 07:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 08:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 09:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 10:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 11:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 12:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 13:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 14:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 15:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 16:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 17:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 18:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 19:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
04.01.2020 20:00:00.000 GMT-0500,3235.140,3235.140,3235.140,3235.140,0
