Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 01:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 02:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 03:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 04:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 05:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 06:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 07:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 08:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 09:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 10:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 11:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 12:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 13:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 14:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 15:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 16:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 17:00:00.000 GMT-0500,8744.580,8744.580,8744.580,8744.580,0
01.01.2020 18:00:00.000 GMT-0500,8749.990,8760.000,8746.070,8752.700,2.5933
01.01.2020 19:00:00.000 GMT-0500,8752.700,8759.390,8751.210,8758.210,1.9538
01.01.2020 20:00:00.000 GMT-0500,8758.210,8763.390,8748.770,8758.170,5.9219
01.01.2020 21:00:00.000 GMT-0500,8758.170,8763.290,8756.540,8761.630,3.2895
01.01.2020 22:00:00.000 GMT-0500,8761.630,8768.400,8761.620,8767.390,1.4854
