Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 01:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 02:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 03:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 04:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 05:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 06:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 07:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 08:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 09:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 10:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 11:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 12:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 13:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 14:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 15:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 16:00:00.000 GMT-0500,1.29853,1.29853,1.29853,1.29853,0
01.01.2020 17:00:00.000 GMT-0500,1.29842,1.29863,1.29777,1.29847,656.8
01.01.2020 18:00:00.000 GMT-0500,1.29853,1.29853,1.29745,1.29754,3327.46
01.01.2020 19:00:00.000 GMT-0500,1.29754,1.29783,1.29744,1.29769,2860.8999
01.01.2020 20:00:00.000 GMT-0500,1.29770,1.29772,1.29719,1.29733,3739.3301
01.01.2020 21:00:00.000 GMT-0500,1.29732,1.29793,1.29703,1.29790,2004.49
01.01.2020 22:00:00.000 GMT-0500,1.29790,1.29873,1.29783,1.29867,3414.8501
01.01.2020 23:00:00.000 GMT-0500,1.29866,1.29923,1.29849,1.29920,2245.03
02.01.2020 00:00:00.000 GMT-0500,1.29920,1.29956,1.29884,1.29886,3672.1201
02.01.2020 01:00:00.000 GMT-0500,1.29886,1.29890,1.29835,1.29851,3470.8501
02.01.2020 02:00:00.000 GMT-0500,1.29851,1.29917,1.29797,1.29862,3829.98
02.01.2020 03:00:00.000 GMT-0500,1.29861,1.29866,1.29708,1.29724,4261.8398
02.01.2020 04:00:00.000 GMT-0500,1.29724,1.29831,1.29684,1.29808,3060.7
02.01.2020 05:00:00.000 GMT-0500,1.29808,1.29951,1.29799,1.29917,3794.8999
02.01.2020 06:00:00.000 GMT-0500,1.29916,1.30078,1.29908,1.30037,3966.1799
02.01.2020 07:00:00.000 GMT-0500,1.30038,1.30076,1.29900,1.29920,4771.5
02.01.2020 08:00:00.000 GMT-0500,1.29919,1.30048,1.29882,1.29926,5218.21
02.01.2020 09:00:00.000 GMT-0500,1.29926,1.30063,1.29917,1.29976,27124.4102
02.01.2020 10:00:00.000 GMT-0500,1.29973,1.29989,1.29781,1.29784,15289.46
02.01.2020 11:00:00.000 GMT-0500,1.29787,1.30039,1.29753,1.29979,13517.9502
02.01.2020 12:00:00.000 GMT-0500,1.29981,1.30040,1.29922,1.29963,5307.96
02.01.2020 13:00:00.000 GMT-0500,1.29959,1.29990,1.29903,1.29910,4232.0498
02.01.2020 14:00:00.000 GMT-0500,1.29911,1.29942,1.29845,1.29903,3600.7
02.01.2020 15:00:00.000 GMT-0500,1.29903,1.29912,1.29848,1.29869,3528.6699
02.01.2020 16:00:00.000 GMT-0500,1.29871,1.29900,1.29791,1.29791,2609.51
02.01.2020 17:00:00.000 GMT-0500,1.29823,1.29860,1.29796,1.29824,864.57
02.01.2020 18:00:00.000 GMT-0500,1.29835,1.29854,1.29835,1.29836,1735.8101
02.01.2020 19:00:00.000 GMT-0500,1.29836,1.29868,1.29822,1.29834,2368.1101
02.01.2020 20:00:00.000 GMT-0500,1.29835,1.29849,1.29769,1.29823,5528.1001
02.01.2020 21:00:00.000 GMT-0500,1.29822,1.29891,1.29754,1.29881,6764.8198
02.01.2020 22:00:00.000 GMT-0500,1.29880,1.29987,1.29880,1.29935,3979.98
02.01.2020 23:00:00.000 GMT-0500,1.29931,1.29958,1.29888,1.29932,2652.24
03.01.2020 00:00:00.000 GMT-0500,1.29932,1.29993,1.29924,1.29943,3947.54
03.01.2020 01:00:00.000 GMT-0500,1.29942,1.29956,1.29843,1.29862,3455.1001
03.01.2020 02:00:00.000 GMT-0500,1.29864,1.29959,1.29622,1.29637,7984.1602
03.01.2020 03:00:00.000 GMT-0500,1.29637,1.29838,1.29608,1.29714,6337.4199
03.01.2020 04:00:00.000 GMT-0500,1.29715,1.29863,1.29698,1.29834,4490.8198
03.01.2020 05:00:00.000 GMT-0500,1.29834,1.29895,1.29803,1.29871,4582.04
03.01.2020 06:00:00.000 GMT-0500,1.29871,1.30048,1.29850,1.30020,5627.3398
03.01.2020 07:00:00.000 GMT-0500,1.30020,1.30049,1.29912,1.29931,3571.8899
03.01.2020 08:00:00.000 GMT-0500,1.29930,1.29951,1.29721,1.29907,4946.77
03.01.2020 09:00:00.000 GMT-0500,1.29907,1.29961,1.29818,1.29916,6315.1099
03.01.2020 10:00:00.000 GMT-0500,1.29916,1.29965,1.29795,1.29814,6592.73
03.01.2020 11:00:00.000 GMT-0500,1.29819,1.29871,1.29760,1.29852,5887.0601
03.01.2020 12:00:00.000 GMT-0500,1.29853,1.29928,1.29825,1.29840,4706.4102
03.01.2020 13:00:00.000 GMT-0500,1.29840,1.29946,1.29840,1.29909,4823.96
03.01.2020 14:00:00.000 GMT-0500,1.29912,1.29986,1.29909,1.29911,3834.3201
03.01.2020 15:00:00.000 GMT-0500,1.29911,1.29961,1.29883,1.29886,3292.24
03.01.2020 16:00:00.000 GMT-0500,1.29884,1.30072,1.29857,1.29972,3124.3999
03.01.2020 17:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 18:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 19:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 20:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 21:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 22:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
03.01.2020 23:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 00:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 01:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 02:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 03:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 04:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 05:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 06:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 07:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
04.01.2020 08:00:00.000 GMT-0500,1.29972,1.29972,1.29972,1.29972,0
