Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 01:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 02:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 03:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 04:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 05:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 06:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 07:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 08:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 09:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 10:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 11:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 12:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 13:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 14:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 15:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 16:00:00.000 GMT-0500,108.631,108.631,108.631,108.631,0
01.01.2020 17:00:00.000 GMT-0500,108.730,108.759,108.575,108.677,2445.1599
01.01.2020 18:00:00.000 GMT-0500,108.677,108.725,108.601,108.723,2009.67
01.01.2020 19:00:00.000 GMT-0500,108.722,108.735,108.681,108.701,1593.3101
01.01.2020 20:00:00.000 GMT-0500,108.701,108.731,108.637,108.671,2860.3401
01.01.2020 21:00:00.000 GMT-0500,108.670,108.688,108.655,108.678,2042.65
01.01.2020 22:00:00.000 GMT-0500,108.679,108.712,108.671,108.706,1256.92
01.01.2020 23:00:00.000 GMT-0500,108.707,108.743,108.698,108.741,1579.09
02.01.2020 00:00:00.000 GMT-0500,108.741,108.757,108.732,108.741,1751.39
02.01.2020 01:00:00.000 GMT-0500,108.742,108.749,108.714,108.714,1449.45
02.01.2020 02:00:00.000 GMT-0500,108.711,108.800,108.693,108.784,4064.53
02.01.2020 03:00:00.000 GMT-0500,108.786,108.819,108.766,108.779,5790.27
02.01.2020 04:00:00.000 GMT-0500,108.780,108.842,108.775,108.838,4152.3501
02.01.2020 05:00:00.000 GMT-0500,108.838,108.864,108.791,108.806,3452.5701
02.01.2020 06:00:00.000 GMT-0500,108.806,108.812,108.770,108.771,2854.1101
02.01.2020 07:00:00.000 GMT-0500,108.771,108.806,108.756,108.786,2442.9299
02.01.2020 08:00:00.000 GMT-0500,108.786,108.789,108.656,108.693,6654.4199
02.01.2020 09:00:00.000 GMT-0500,108.692,108.749,108.635,108.673,62835.4688
02.01.2020 10:00:00.000 GMT-0500,108.673,108.681,108.211,108.271,76065.0469
02.01.2020 11:00:00.000 GMT-0500,108.272,108.444,108.259,108.433,7127.8701
02.01.2020 12:00:00.000 GMT-0500,108.432,108.553,108.430,108.527,4569.1401
02.01.2020 13:00:00.000 GMT-0500,108.526,108.558,108.497,108.521,5478.02
02.01.2020 14:00:00.000 GMT-0500,108.520,108.570,108.510,108.548,6746.1001
02.01.2020 15:00:00.000 GMT-0500,108.548,108.560,108.492,108.555,2541.99
02.01.2020 16:00:00.000 GMT-0500,108.554,108.567,108.526,108.567,3317.99
02.01.2020 17:00:00.000 GMT-0500,108.556,108.567,108.499,108.540,1606.58
02.01.2020 18:00:00.000 GMT-0500,108.543,108.630,108.537,108.544,2508.6799
02.01.2020 19:00:00.000 GMT-0500,108.543,108.562,108.391,108.406,7131.21
02.01.2020 20:00:00.000 GMT-0500,108.406,108.440,108.163,108.203,5901.9902
02.01.2020 21:00:00.000 GMT-0500,108.200,108.242,107.999,108.060,12977.54
02.01.2020 22:00:00.000 GMT-0500,108.058,108.184,108.003,108.183,10519.3496
02.01.2020 23:00:00.000 GMT-0500,108.182,108.231,108.125,108.132,5133.02
03.01.2020 00:00:00.000 GMT-0500,108.133,108.164,108.079,108.122,4845.8599
03.01.2020 01:00:00.000 GMT-0500,108.122,108.152,108.080,108.141,2572.28
03.01.2020 02:00:00.000 GMT-0500,108.142,108.142,107.915,107.947,8707.4902
03.01.2020 03:00:00.000 GMT-0500,107.947,108.073,107.931,107.993,8817.6699
03.01.2020 04:00:00.000 GMT-0500,107.993,108.069,107.921,108.068,6985.0698
03.01.2020 05:00:00.000 GMT-0500,108.068,108.130,108.015,108.050,8637.1904
03.01.2020 06:00:00.000 GMT-0500,108.049,108.117,107.996,108.028,6254.21
03.01.2020 07:00:00.000 GMT-0500,108.028,108.155,108.023,108.084,6088.3301
03.01.2020 08:00:00.000 GMT-0500,108.085,108.162,108.085,108.157,5902.0098
03.01.2020 09:00:00.000 GMT-0500,108.157,108.267,108.144,108.218,8978.4805
03.01.2020 10:00:00.000 GMT-0500,108.212,108.212,107.997,108.038,13893.0898
03.01.2020 11:00:00.000 GMT-0500,108.039,108.040,107.916,107.946,34362.0313
03.01.2020 12:00:00.000 GMT-0500,107.946,107.988,107.933,107.967,5427.71
03.01.2020 13:00:00.000 GMT-0500,107.970,108.072,107.839,108.048,7388.77
03.01.2020 14:00:00.000 GMT-0500,108.054,108.090,108.011,108.013,4735.5
03.01.2020 15:00:00.000 GMT-0500,108.012,108.119,108.012,108.092,3349.6399
03.01.2020 16:00:00.000 GMT-0500,108.091,108.123,108.047,108.047,1637.1899
03.01.2020 17:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 18:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 19:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 20:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 21:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 22:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
03.01.2020 23:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 00:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 01:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 02:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 03:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 04:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 05:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 06:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 07:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 08:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 09:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 10:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 11:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 12:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 13:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 14:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 15:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 16:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 17:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 18:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 19:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 20:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 21:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 22:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
04.01.2020 23:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 00:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 01:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 02:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 03:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 04:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 05:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 06:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 07:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 08:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 09:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 10:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 11:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 12:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 13:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 14:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 15:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 16:00:00.000 GMT-0500,108.047,108.047,108.047,108.047,0
05.01.2020 17:00:00.000 GMT-0500,107.838,107.936,107.801,107.801,2843.53
05.01.2020 18:00:00.000 GMT-0500,107.801,107.981,107.770,107.968,11175.4805
05.01.2020 19:00:00.000 GMT-0500,107.971,108.122,107.947,108.066,11690.0801
05.01.2020 20:00:00.000 GMT-0500,108.066,108.083,107.913,107.946,7707.9702
05.01.2020 21:00:00.000 GMT-0500,107.948,108.056,107.929,108.031,4824.0298
05.01.2020 22:00:00.000 GMT-0500,108.030,108.076,108.008,108.056,3887.3201
05.01.2020 23:00:00.000 GMT-0500,108.057,108.104,108.033,108.061,4098.6899
06.01.2020 00:00:00.000 GMT-0500,108.062,108.073,108.033,108.058,5053.0498
06.01.2020 01:00:00.000 GMT-0500,108.060,108.071,107.970,108.052,6151.6602
06.01.2020 02:00:00.000 GMT-0500,108.053,108.176,108.027,108.102,6513.8301
06.01.2020 03:00:00.000 GMT-0500,108.101,108.134,107.950,107.977,9773.6699
06.01.2020 04:00:00.000 GMT-0500,107.977,108.036,107.926,107.984,6912.0898
06.01.2020 05:00:00.000 GMT-0500,107.985,108.035,107.981,107.999,4234.6602
06.01.2020 06:00:00.000 GMT-0500,108.000,108.083,107.989,108.060,5882.48
06.01.2020 07:00:00.000 GMT-0500,108.061,108.162,108.043,108.159,4261.6699
06.01.2020 08:00:00.000 GMT-0500,108.156,108.163,108.073,108.121,5666.7002
