Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 01:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 02:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 03:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 04:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 05:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 06:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 07:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 08:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 09:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 10:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 11:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 12:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 13:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 14:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 15:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 16:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 17:00:00.000 GMT-0500,1670.168,1670.168,1670.168,1670.168,0
01.01.2020 18:00:00.000 GMT-0500,1671.167,1674.175,1670.968,1672.669,6.57
01.01.2020 19:00:00.000 GMT-0500,1672.872,1674.071,1672.368,1673.475,3.34
01.01.2020 20:00:00.000 GMT-0500,1673.600,1674.500,1671.165,1672.500,8.64
01.01.2020 21:00:00.000 GMT-0500,1672.370,1673.500,1672.169,1672.865,5.15
01.01.2020 22:00:00.000 GMT-0500,1672.967,1673.474,1672.963,1673.263,2.9
01.01.2020 23:00:00.000 GMT-0500,1673.374,1673.374,1672.564,1672.767,1.13
02.01.2020 00:00:00.000 GMT-0500,1672.865,1672.973,1671.964,1672.773,3
02.01.2020 01:00:00.000 GMT-0500,1672.869,1673.100,1672.264,1672.867,3.13
02.01.2020 02:00:00.000 GMT-0500,1672.976,1674.774,1672.667,1674.366,4.98
02.01.2020 03:00:00.000 GMT-0500,1674.467,1678.700,1674.064,1678.364,12.99
02.01.2020 04:00:00.000 GMT-0500,1678.263,1679.863,1678.064,1679.400,9.4
02.01.2020 05:00:00.000 GMT-0500,1679.264,1681.374,1679.063,1680.668,6.22
02.01.2020 06:00:00.000 GMT-0500,1680.767,1680.776,1678.463,1678.571,5.3
02.01.2020 07:00:00.000 GMT-0500,1678.471,1679.973,1678.469,1679.863,3.27
02.01.2020 08:00:00.000 GMT-0500,1679.767,1681.771,1679.564,1681.373,5.78
02.01.2020 09:00:00.000 GMT-0500,1681.266,1681.666,1664.974,1667.370,34.43
02.01.2020 10:00:00.000 GMT-0500,1667.664,1667.673,1655.764,1661.666,40.62
02.01.2020 11:00:00.000 GMT-0500,1661.563,1662.574,1651.663,1655.875,27.96
02.01.2020 12:00:00.000 GMT-0500,1655.975,1656.976,1654.265,1656.976,16.11
