Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 01:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 02:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 03:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 04:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 05:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 06:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 07:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 08:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 09:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 10:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 11:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 12:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 13:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 14:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 15:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 16:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 17:00:00.000 GMT-0500,155.500,155.500,155.500,155.500,0
01.01.2020 18:00:00.000 GMT-0500,155.562,155.656,155.437,155.499,14.185
01.01.2020 19:00:00.000 GMT-0500,155.500,155.563,155.468,155.531,5.06
01.01.2020 20:00:00.000 GMT-0500,155.530,155.719,155.530,155.718,14.79
01.01.2020 21:00:00.000 GMT-0500,155.718,155.719,155.655,155.655,8.2
01.01.2020 22:00:00.000 GMT-0500,155.656,155.688,155.593,155.687,1.085
01.01.2020 23:00:00.000 GMT-0500,155.687,155.688,155.655,155.687,0.655
02.01.2020 00:00:00.000 GMT-0500,155.687,155.844,155.687,155.813,1.355
02.01.2020 01:00:00.000 GMT-0500,155.813,155.813,155.687,155.687,4.53
02.01.2020 02:00:00.000 GMT-0500,155.702,155.750,155.418,155.453,84.35
02.01.2020 03:00:00.000 GMT-0500,155.453,155.498,155.155,155.280,147.6031
02.01.2020 04:00:00.000 GMT-0500,155.281,155.406,155.155,155.375,70.4795
02.01.2020 05:00:00.000 GMT-0500,155.374,155.719,155.312,155.688,46.0813
02.01.2020 06:00:00.000 GMT-0500,155.687,155.969,155.687,155.937,27.636
02.01.2020 07:00:00.000 GMT-0500,155.938,155.969,155.781,155.905,35.5322
02.01.2020 08:00:00.000 GMT-0500,155.906,156.563,155.843,156.500,83.6175
02.01.2020 09:00:00.000 GMT-0500,156.499,156.750,156.249,156.718,154.2804
