Date,Action,Price,Shares,Strategy
2020-01-03 01:00:00,Buy,3233.049,309.0,RSI Strategy 1
2020-01-06 13:00:00,Sell,3237.343,309.0,RSI Strategy 1
2020-01-07 09:00:00,Buy,3234.449,309.0,RSI Strategy 1
2020-01-08 05:00:00,Sell,3241.449,309.0,RSI Strategy 1
2020-01-10 11:00:00,Buy,3274.143,306.0,RSI Strategy 1
2020-01-13 16:00:00,Sell,3288.8,306.0,RSI Strategy 1
2020-01-18 01:00:00,Buy,3323.74,303.0,RSI Strategy 1
2020-01-21 11:00:00,Sell,3328.049,303.0,RSI Strategy 1
2020-01-22 11:00:00,Buy,3328.4,303.0,RSI Strategy 1
2020-01-23 18:00:00,Sell,3330.852,303.0,RSI Strategy 1
2020-01-24 11:00:00,Buy,3307.5,305.0,RSI Strategy 1
2020-01-27 05:00:00,Sell,3239.852,305.0,RSI Strategy 1
2020-01-27 08:00:00,Buy,3243.046,305.0,RSI Strategy 1
2020-01-28 01:00:00,Sell,3263.749,305.0,RSI Strategy 1
2020-01-29 16:00:00,Buy,3272.7,304.0,RSI Strategy 1
2020-01-30 20:00:00,Sell,3288.7,304.0,RSI Strategy 1
2020-01-31 05:00:00,Buy,3272.855,305.0,RSI Strategy 1
2020-02-01 01:00:00,Sell,3229.249,305.0,RSI Strategy 1
2020-02-06 10:00:00,Buy,3340.849,295.0,RSI Strategy 1
2020-02-10 17:00:00,Sell,3353.543,295.0,RSI Strategy 1
2020-02-13 01:00:00,Buy,3366.4,294.0,RSI Strategy 1
2020-02-13 14:00:00,Sell,3382.855,294.0,RSI Strategy 1
2020-02-14 09:00:00,Buy,3373.4,295.0,RSI Strategy 1
2020-02-14 22:00:00,Sell,3380.949,295.0,RSI Strategy 1
2020-02-17 18:00:00,Buy,3375.54,295.0,RSI Strategy 1
2020-02-18 21:00:00,Sell,3376.846,295.0,RSI Strategy 1
2020-02-20 11:00:00,Buy,3356.737,297.0,RSI Strategy 1
2020-02-21 23:00:00,Sell,3339.943,297.0,RSI Strategy 1
2020-02-25 06:00:00,Buy,3233.746,307.0,RSI Strategy 1
2020-02-25 12:00:00,Sell,3172.1,307.0,RSI Strategy 1
2020-02-26 19:00:00,Buy,3092.743,315.0,RSI Strategy 1
2020-02-27 14:00:00,Sell,3031.834,315.0,RSI Strategy 1
2020-02-28 03:00:00,Buy,2915.4,327.0,RSI Strategy 1
2020-02-28 09:00:00,Sell,2874.62,327.0,RSI Strategy 1
2020-03-03 15:00:00,Buy,2999.843,314.0,RSI Strategy 1
2020-03-04 02:00:00,Sell,3044.7,314.0,RSI Strategy 1
2020-03-05 01:00:00,Buy,3091.749,309.0,RSI Strategy 1
2020-03-05 12:00:00,Sell,3024.146,309.0,RSI Strategy 1
2020-03-05 14:00:00,Buy,3022.452,309.0,RSI Strategy 1
2020-03-06 04:00:00,Sell,2956.952,309.0,RSI Strategy 1
2020-03-07 01:00:00,Buy,2966.255,308.0,RSI Strategy 1
