Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Buy,2020-02-12 11:00:00,109.956,1818.909381934592,100000.0,106.65732,0.08320058392348709,,
Sell,2020-02-13 12:00:00,109.72,,99570.73738586342,,,-429.26261413657136,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2020-02-19 23:00:00,111.197,1790.8889158136176,99570.73738586342,107.86109,0.1583578066633655,,
Sell,2020-02-24 12:00:00,111.333,,99814.29827841406,,,243.56089255064427,Short MA Crossed Below Medium MA
Buy,2020-04-03 11:00:00,108.491,1840.0475298119486,99814.29827841406,105.23626999999999,0.2051084307150856,,
Sell,2020-04-07 16:00:00,108.835,,100447.27462866936,,,632.9763502552994,MA300 Slope Turned Negative
Buy,2020-06-01 01:00:00,107.684,1865.5933031586746,100447.27462866936,104.45348,0.13513026118168328,,
Sell,2020-06-01 13:00:00,107.655,,100393.17242287776,,,-54.10220579159478,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2020-06-05 17:00:00,109.683,1830.6058810002964,100393.17242287776,106.39251,0.14281227382230316,,
Sell,2020-06-08 17:00:00,108.342,,97938.32993645634,,,-2454.8424864214126,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2020-06-30 21:00:00,107.958,1814.3783681886723,97938.32993645634,104.71925999999999,0.11011089269378825,,
Sell,2020-07-01 19:00:00,107.473,,97058.35642788484,,,-879.973508571505,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2020-08-25 18:00:00,106.34,1825.4345764131058,97058.35642788484,103.1498,0.1182663199083771,,
Sell,2020-08-26 23:00:00,105.872,,96204.05304612349,,,-854.3033817613399,Drawdown Protection (Triggered Trading Halt)
Buy,2020-10-21 05:00:00,105.302,1827.2027700541962,96204.05304612349,102.14294000000001,0.06929702745238384,,
Sell,2020-10-21 06:00:00,105.239,,96088.93927161007,,,-115.11377451341872,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-01-19 11:00:00,103.991,1848.0241419278605,96088.93927161007,100.87127,0.0734686257489167,,
Sell,2021-01-20 10:00:00,103.795,,95726.72653979222,,,-362.2127318178569,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-01-24 22:00:00,103.808,1844.3034552210274,95726.72653979222,100.69376,0.07481971018493892,,
Sell,2021-01-26 21:00:00,103.612,,95365.24306256887,,,-361.4834772233438,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-01-29 21:00:00,104.638,1822.7650196404531,95365.24306256887,101.49886000000001,0.10683527528173542,,
Sell,2021-02-08 23:00:00,105.214,,96415.15571388176,,,1049.912651312889,Short MA Crossed Below Medium MA
Buy,2021-02-15 01:00:00,105.023,1836.0769681666256,96415.15571388176,101.87231,0.08790143800826024,,
Sell,2021-02-18 20:00:00,105.655,,97575.55635776308,,,1160.4006438813167,Short MA Crossed Below Medium MA
Buy,2021-02-25 02:00:00,106.033,1840.4752550199105,97575.55635776308,102.85200999999999,0.1165234981367185,,
Sell,2021-03-10 19:00:00,108.386,,101906.19463282492,,,4330.6382750618395,Short MA Crossed Below Medium MA
Buy,2021-03-12 09:00:00,109.113,1867.9019847832049,101906.19463282492,105.83961,0.11730602144805136,,
Sell,2021-03-17 00:00:00,109.122,,101923.00575068797,,,16.811117863049482,Short MA Crossed Below Medium MA
Buy,2021-03-25 07:00:00,109.076,1868.8438474217605,101923.00575068797,105.80371999999998,0.08784878426239477,,
Sell,2021-04-02 11:00:00,110.526,,104632.82932944952,,,2709.823578761558,Short MA Crossed Below Medium MA
Buy,2021-05-13 15:00:00,109.572,1909.8461163335437,104632.82932944952,106.28484,0.13156716053501452,,
Sell,2021-05-17 06:00:00,109.198,,103918.54688194075,,,-714.2824475087633,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2021-05-27 02:00:00,109.073,1905.4861768162746,103918.54688194075,105.80080999999998,0.07514381953312821,,
Sell,2021-05-31 21:00:00,109.576,,104877.00642887934,,,958.4595469385863,Short MA Crossed Below Medium MA
